Input,Sentiment
Efforts needed in presentation skills,Negative
Staff have many ways to explain  so it's easy to understand,Positive
Well teaching ,Positive
Enthusiastic teacher,Positive
Quite punctual,Positive
Happy with teaching stuff.....,Positive
Excellence in performing is required,Negative
Hard working staff,Positive
not,Negative
Average in explanation,Neutral
teaching is very good,Positive
Great jobbbb,Positive
expectations not fulfilled,Neutral
Best technical knowledge,Positive
teaching is not good,Neutral
Amazing ways to learn & explore ,Positive
Well versed and experience is gud,Positive
Okay but can change some ways to teachh,Neutral
excellent teaching,Positive
required points are covered,Neutral
excellent teaching provided,Positive
not understandable,Neutral
very bad,Negative
poor teaching,Negative
teaching is not good,Negative
Well prepared teachers,Positive
Concept wise okay,Neutral
Can be more interactive,Neutral
Fine ,Positive
Handwriting can't be understood,Negative
Worst concepts,Negative
good but skills can be improved in pronunciation,Neutral
needs to improve a lot,Negative
Excellent teaching,Positive
My goodness how impressive!!,Positive
can improve the way of explanation,Neutral
awesome teachers,Positive
technologywise improvement must happen,Negative
Dedicated score,Positive
Best in the world,Positive
teaching is  good but,Neutral
Very funny person ,Positive
not good,Negative
excellent,Positive
Awesom,Positive
Having fun to learn new things,Positive
Strong points and fair enough as per exms,Positive
Hard work regarding notes isn't that up to mark,Negative
Teachers are very helpful anytime and any day always !!!,Positive
Very nice technique and quality experience,Positive
Well satisfied as per our results but can do much better regarding explanation,Neutral
Can't handle the class full of too many students,Negative
Really bad explaination,Negative
Weak communication skill,Negative
Can't interact that nicely with students,Negative
Weak in programming concepts,Negative
Only teach in short ,Negative
No knowledge of curriculum,Negative
Concepts arent cleared not the doubts,Negative
Imperfect english language,Negative
Good but we won't understand the newly topics so well,Neutral
Electronic concept aren't cleared ,Negative
Maths part isn't well explained,Negative
Happy yet not satisfied teaching techniques,Neutral
Maths is best explained but some sums are difficult for them to explain,Neutral
Poetical way of explaining is best,Positive
Peer tutoring isn't that good method,Negative
Okay but not as per the curriculum mentioned,Neutral
Continue scolding won't help,Negative
Not helpful notes at all,Negative
Not clearing my doubts n ignoring,Negative
Voice not audible,Negative
good but needs to be improved,Neutral
Poor,Negative
Teaching is not good,Negative
Communication is not good but teaching is good,Neutral
Not good,Negative
Teaching is poor but communicates very well,Neutral
Teaching is poor,Negative
his teaching  skills needed to be better,Negative
teaching is good but voice is not audible,Negative
The lecturer not very well explained the topic. ,Negative
The lectures are not very interesting and make me eager to listen to them. ,Negative
not good,Negative
not understandable,Negative
"The lecturer not makes the lectures quite interesting and attractive and the
exercise class is not very useful”",Negative
unable to understand,Negative
very tough to understand,Negative
 not good,Positive
good enough and understandable,Positive
teaching is good,Negative
worst,Negative
not too good,Positive
very bad,Negative
understandable,Neutral
Teaching not good,Positive
Teaching good but get diverted with phone call,Negative
Teaching is poor,Negative
Voice is not audible,Negative
Lacks in communication,Negative
Not good,Negative
 improvement needed,Negative
Irresponsible teachers,Negative
Teachers need to improve themselves,Negative
English is not good,Negative
Timing issues,Negative
Language pdoblems,Negative
No importance of time,Negative
Bad behaviour,Negative
Useless teachers,Negative
Cant expect this from teachers,Negative
English problem,Negative
Syllabus incomplete ,Negative
Rude behaviour,Negative
Lazy habits,Negative
Language problems,Negative
Fine but practically not clear concepts,Neutral
Poor language ,Negative
English problems,Negative
No time importance,Negative
Poor behaviour,Negative
No strictness in class,Negative
Teaching is good but low voice,Neutral
English is poor but good explaination,Neutral
Teaching is good but timing issues,Neutral
Teaching is good but not language,Neutral
Poor pronouncing but good teaching,Neutral
Teaching is good but timing is not perfect,Neutral
Low voice but nice explaination,Neutral
Teaching is good but timing issues,Neutral
Explaination is good but poor english,Neutral
Teaching is good but poor dressing sense ,Neutral
very Good......and innovative,Positive
The instructor showed enthusiasm for the course component.,Positive
The course content provide by this teacher is not sufficient for exams,Negative
Finish course on time,Positive
Never finish course on time,Neutral
The course content is good. But out dated.,Neutral
Quite good course,Positive
Some contents are bad,Neutral
Not covered,Negative
The topics and assignments were at an appropriate level of difficulty.,Negative
Covers everything,Positive
Course completed in time ,Positive
Whacky,Neutral
Outstanding,Positive
Nice,Positive
Not paying much attention,Negative
Good ,Positive
Incredible course contents ,Positive
Course content is interesting,Positive
Great going courses,Positive
courses content are difficult to understand.,Negative
Nice courses,Positive
The content is excellent,Positive
I expect the content to be raised to the standard which is required,Negative
Contents are quite informative,Positive
The instructor was not interested in course.,Negative
very bad,Negative
Includes various concepts which are explained thoroughly. ,Positive
The course content is not precise and module as a whole is not very well delivered ,Negative
I learned a lot from taking this course component.,Positive
Some other courses can be added.,Negative
Highly rated content.,Positive
the course content is too easy but don't explain it nicely,Neutral
Courses are Knowledgeable.,Positive
The course component was stimulating.,Negative
Neutral ,Neutral
awesome,Positive
Excellent courses,Positive
the courses is easy to understand,Positive
Need to work on contents,Negative
No need of Extra courses,Negative
course content is excellent,Positive
The content taught was easy to understand.,Positive
The syllabus of each course was not challenging,Positive
good but needs to be improved,Neutral
Good,Positive
Not satisfied,Negative
Nice notes and easy to understand ,Neutral
Background for benefiting from the courses was noot goood,Negative
Good,Positive
not completed on time,Neutral
average completion of course,Neutral
all the things get covered,Positive
completion is always late,Neutral
whole syllabus covered in time,Positive
somehow completed,Neutral
not helpful for exams,Negative
Up to mark,Positive
Okay,Positive
Well versed,Positive
Happy with courses ,Positive
Not well versed ,Negative
helpful courses provided,Neutral
Great courses ,Positive
Irrelevant,Negative
Okay,Positive
Nice,Positive
Okay,Positive
innovative courses,Positive
not covered in time,Negative
completed till the date,Neutral
not completed ,Negative
completed in time but,Neutral
very good,Positive
Good coursecontent. It was informative,Positive
Good,Positive
Interaction needed,Negative
Very Helpful,Positive
Excellent course!,Positive
Goooooooooddd,Positive
Too much syllabus,Negative
Perfecttt,Positive
Appreciable course contents,Positive
Phenomenal,Positive
Good,Positive
Very amazing courses,Positive
Outstanding,Positive
Good ,Positive
Nicer,Positive
Helpful courses ,Positive
Gud,Positive
Too many courses,Negative
Well versed ,Positive
completed within time,Neutral
Cool,Positive
not completed,Neutral
Excellent,Positive
courses are relevant to syllabus only,Positive
Course content is too much,Negative
very good but,Neutral
Gr8,Positive
Nice ,Positive
Superb,Positive
relevant courses are in teaching,Neutral
courses are not completed,Negative
courses completed in time,Neutral
not easy to learn,Negative
courses are completed ,Neutral
courses are conducted in time,Positive
completed in time,Neutral
Gives the basic knowledge of every thing.,Positive
Contents are well delivered,Positive
Does not give enough time to develop skills.,Negative
Okayyz,Positive
Well planned,Positive
Okay,Positive
better than before but it can be improved more,Neutral
its the best course ,Positive
Awesome ,Positive
Good course,Positive
its rubbish.... how could one design such a worst curriculam,Negative
With the new technologies course is evolving ,Positive
average in some subjects,Neutral
Courses are knowledgeable.,Positive
Okay okay,Positive
irrelevant courses ,Negative
Courses aren't updated,Positive
completed with good knowledge,Positive
very good and understandable,Positive
Happy with courses,Positive
Satisfied with contentss,Positive
Okay,Positive
Quite better,Positive
Contents are too heavy to understand,Negative
Perfectt,Positive
Nicer,Positive
Well versed,Positive
Not gud,Negative
Not good,Negative
Not good,Negative
Weak planning done ,Negative
Okay,Positive
Okay,Positive
Okay,Positive
Okay,Positive
Okay,Positive
Good,Positive
Okay,Positive
Good,Positive
Okay,Positive
Nyccc,Positive
Okayz,Positive
Is gudd,Positive
Okay,Positive
Okay,Positive
Nice,Positive
To small,Negative
Finshes on time,Neutral
Bad,Negative
Too large,Negative
Never finshes on time,Negative
Never finishes on time,Negative
Finshes on time,Positive
Not good,Negative
the contents are not very well explained,Negative
contents are not very well explained,Negative
The content has not fuelled my interest in this area of content,Negative
 The contents are not with real-time examples so I am not able to understand better,Negative
course content is not completed,Negative
partially completed,Positive
Not Detailed explanations and clarity,Negative
hard to learn,Positive
partially completed,Negative
not completed in time,Negative
not completed,Negative
completed,Negative
not completed,Negative
very hard to understand,Negative
incomplete always,Negative
not completed,Negative
Finish all course in it,Neutral
Never finshes in time,Negative
Large  content,Negative
Never finishes in time,Negative
Never get finishes on time,Negative
Not completed,Negative
Incomplete ,Negative
Incomplete,Negative
Not finished,Negative
Syllabus is too much,Negative
Difficult,Negative
Hard to understand,Negative
Necessary syllabus is not available ,Negative
Worthless syllabus ,Negative
Vast syllabus,Negative
Hard to understand,Negative
Very hard,Negative
Hard to understand ,Negative
Useless content,Negative
Vast but not deep,Negative
Deep but useless,Negative
Not that easy to understand,Negative
Hard,Negative
Vast,Negative
Vast but useless,Negative
Very hard,Negative
Vast and hard,Negative
Vast but easy,Neutral
Easy but not deep,Neutral
Easy but not worthy,Neutral
Difficult but not vast,Neutral
Vast but deep,Neutral
Deep but easy,Neutral
Hard but not so large,Neutral
Easy but not deep,Neutral
Vast but not deep,Neutral
Easy but vast,Neutral
Examination pattern is good but it can be done better,Neutral
He was not prepared to explain the course for examination.,Negative
at the time of examination the provided content  is not good but he explain it nicely,Neutral
Patern is easy,Positive
Easy,Positive
Examination is okay. But can be good.,Neutral
Poor,Negative
Excellent,Positive
Very hard,Negative
The amount of material covered was inappropriate.,Negative
Tough,Negative
Easy to learn pattern ,Positive
I hate using my Brain right now,Negative
Improvement needed ,Negative
Hard work needed ,Negative
Marvelous ,Positive
Superb,Positive
Orderly schedule is followed for examination,Positive
the course content is not enough for examination,Negative
Exams aren't as per expectations,Negative
The syllabus for examination is too more than to read.,Negative
Fine work,Positive
Examination is not conducted in good manner. It needs improvement,Negative
Exams are standardized  enough to meet the qualification requirments.,Positive
Supervisors are needed ,Negative
what the instructor taught and what comes up in the exam are not similar,Negative
average,Neutral
Should be conducted in a non chaotic way. ,Negative
"The clarity of the material provided and the simplicity and the breaking down
in the handouts",Positive
the question appeared in the exam are good and easy,Positive
Exams aren't started on time,Negative
Includes odd questions which have no importance.,Negative
they don't give enough time to complete the paper,Negative
Practical exams arent conducted well,Negative
The topics and assignments were at an appropriate level of difficulty.,Negative
Excellent ,Positive
ok ok,Neutral
Timetable aren't updated,Negative
question appeared in are not from syllabus,Negative
Okay!!,Positive
Well versed,Positive
pattern needs to improve a lot,Negative
The teacher shared  important points in course for exam.,Positive
able to write answers in that given time ,Positive
very goooooddddd pattern,Positive
Awesomemeeee,Positive
Boring,Negative
Always important to check what one has learned ,Positive
can able to write answer without reading ,Negative
Perfect plans,Positive
poor,Negative
very critical,Negative
easy,Neutral
exams were  very hard,Negative
was too easy,Positive
exams was easy,Neutral
very critical,Negative
Satisfactory,Positive
Gud,Positive
Okayyy....,Positive
Niceee,Positive
Okay,Positive
pattern was hard,Neutral
Easy examination due to planned courses,Positive
Out of syllabus questions,Negative
Okay,Positive
Wonderfullll,Positive
Nicer,Positive
very good,Neutral
questions were hard to understand,Neutral
very good,Positive
not so good,Neutral
exams was too tough,Positive
good,Neutral
Disciplined and strict examination,Positive
Exams schedule is good but can be done much better,Neutral
Poor printing,Negative
Gud,Positive
Very clearly organised,Positive
Okay,Positive
Out of syllabus questions asked ,Negative
Its gr8,Positive
Gr8 going,Positive
Proper exams are conducted ,Positive
Nyccc,Positive
Well structured,Positive
Gr88,Positive
Nice ,Positive
Out of sllybus is asked ,Positive
Not that easy,Negative
Fabbb,Positive
Good,Positive
Nice,Positive
not good,Negative
Easy to score,Positive
complex and hard questions,Neutral
Gooddd,Positive
exams were hard,Neutral
Okay,Positive
very hard,Negative
Fine,Positive
Good,Positive
Outstanding,Positive
very hard,Neutral
hard numericals,Neutral
excellent,Positive
very hard,Neutral
very hard to understand the questions,Neutral
exams were very tough,Negative
the exam was good,Neutral
Good,Positive
Amazing,Positive
Examination does not test skills.,Negative
Perfect,Positive
Fy9,Positive
Okay,Positive
pattern is not satisfactory,Negative
ok ok,Neutral
Best,Positive
Remarkable,Positive
very bad examination pattern,Negative
it takes good effort to give exams. question level is  moderate,Positive
pattern is well structured,Positive
Gr88,Positive
Practicals are not conducted well,Negative
was too critical,Neutral
Intellectual needed ,Negative
excellent,Positive
good and solvable,Positive
Gud,Positive
Gud Positive,Positive
Nice,Positive
Btter,Positive
Sometimes too many exam bring stress in life,Negative
Awesomeee,Positive
Goooooood,Positive
Fine,Positive
Okay,Positive
Fine,Positive
Unhappy,Negative
Not well planned schedules,Negative
Good,Positive
Okay,Positive
Good,Positive
Nice,Positive
Finee,Positive
Good,Positive
Nice,Positive
Cool,Positive
Nice,Positive
Nyccc,Positive
Fy9,Positive
Okay,Positive
Nice,Positive
Fine,Positive
Nice,Positive
good but not great,Neutral
Simple,Neutral
Not good,Negative
Lengthy,Negative
Tough,Negative
Tough,Negative
Tough,Negative
Tough,Negative
the questions are not that much tough,Positive
they asked theory question too much  but never concentrate on facts,Negative
The content has not fuelled my interest in this area.,Negative
 I not able to understand the questions better in the examination,Negative
very poor,Negative
not understandable,Positive
Course is not very nice and lecturer is also not interesting and very helpful”,Negative
very tough,Negative
hard,Negative
too hard,Negative
very critical,Negative
not bad,Neutral
good but not great,Neutral
good enough but not,Neutral
numericals were critical ,Negative
tough to solve,Negative
Easy but not good,Neutral
Have tough questions,Negative
Tough,Negative
Tough,Negative
Tough questions,Negative
Not well managed,Negative
Guarding issues,Negative
Bad environment,Negative
Examination halls are not good,Negative
Supervision is not that good,Negative
Un scheduled ,Negative
Proper management required,Negative
Supervision is poor,Negative
Proper attention required,Negative
Poor checking,Negative
Halls are not good,Negative
Poor management,Negative
No Proper schedule ,Negative
No strictness in examination ,Negative
Improper judgement,Negative
Hygiene required,Negative
Okay,Positive
No Discipline,Negative
No proper sitting arrangement,Negative
Poor supervision,Negative
Conjusted exam halls,Negative
No water arrangement,Negative
Supervision is good but not strict,Neutral
Halls are conjusted but great environment ,Neutral
Okay okay,Neutral
Strict but no discipline ,Neutral
All is good except timing,Neutral
Sitting arrangements are good but no ventilation ,Neutral
All is good except sitting arrangement,Neutral
Sitting arrangement is good but poor supervision,Neutral
Good supervision but poor management,Neutral
Good management but no ventilation ,Neutral
practicals are conducted regularly and in appropriate manner,Positive
The instructor was not prepared for the session but he explained it in a good manner.,Neutral
in practicle exam he helped us a lot,Positive
Easy,Positive
Good,Positive
Good,Positive
Excellent,Positive
Average,Neutral
Good,Positive
 The goals were achieved to a significant extent.,Positive
No focus on labwork,Negative
Manuals weren't upto date ,Negative
I love labs,Positive
Successful effort !!!!,Positive
Superb lab but not that perfect teacher ,Neutral
Noteworthy,Positive
Clever,Positive
Improvement is required,Negative
Equipment in the lab is in good working condition,Positive
Doubts aren't cleared,Negative
the lab faculty is comparatively better than anything else in the college,Positive
Labs are cleaned ,Positive
Machines are good but practicals are not upto the mark,Neutral
"Excellent lab work,  assignments were carried on successfully.",Positive
Internet problems are seen,Negative
 management is not good enough according to the amount they charge,Negative
very bad,Negative
Labwork is done properly but assignments need to be upto the marks. ,Neutral
Goals were achieved ,Positive
the teachers unable to communicate in proper language,Negative
Good contents and enthusiastic staff members.,Positive
Needs to be conducted in a teamwork. ,Negative
Infrastructure and Lab facilities are not good,Negative
Case study classes are very interesting.,Positive
They are very friendly and supportive,Positive
Good ,Neutral
Very bad infrastructure,Negative
Discussion are carried out for understanding purpose.,Positive
Equipment in the lab are not in good working condition,Negative
Well maintained!!,Positive
Chairs in the labs aren't good,Negative
very bad infrastructure,Negative
Lab practicals was taken very good ,Positive
Reading material regarding praticles is not available,Negative
needs to be improved,Negative
Mind blowing!!!!!,Positive
Interesting,Positive
Practicals are very very important for each n every student. ,Neutral
the equipments in lab are not in good condition ,Negative
Interesting,Positive
very good labwork,Positive
not too good,Neutral
assignments are critical to understand,Neutral
assignments completed on time,Positive
excellent labwork,Positive
not much good,Neutral
tough syllabus in labwork,Neutral
Well enoughhhh!!,Positive
Not happy...With labs ,Negative
Well enough,Positive
Perfecttt,Positive
Clear labs !!!!,Positive
appreciable,Positive
Awesome management and teaching,Positive
Not that gud labs,Negative
Okay,Positive
Happy with lab guide,Positive
Okay but isn't that clean and gud,Neutral
manuals are not completed,Neutral
lab work is good ,Neutral
nice and helpful,Positive
assignments were completed in time,Neutral
assignments were too hard,Positive
awesome,Positive
Good but,Neutral
Laboratories are well infrastructured but some pc are not working,Positive
Avg,Positive
Interesting lab tasks:),Positive
Really focused training faculty.,Positive
Gr888,Positive
More than expectations,Positive
Nycc,Positive
Honourable work carried,Positive
Expertise faculty needed for concept clearing,Positive
Interesting assignments for interest development,Positive
Manuals are difficult to understand!!!!,Negative
Okay,Positive
Outstanding,Positive
Not that gud,Negative
Requires for brain development skills like coding,Negative
Fabbb,Positive
Sufficient practice is conducted ,Positive
Good,Positive
excellent,Neutral
Interest could be developed more,Negative
satisfactory lab work provided,Positive
Nice,Positive
lab work is not satisfactory,Negative
Nice,Positive
manuals are not completed,Positive
Great teaching,Positive
Labs are clean and well maintained,Positive
Amazing,Positive
not satisfactory,Neutral
assignments are  easy to understand,Neutral
practicals are conducted regularly,Neutral
assignments completed in time,Negative
labs are very good,Neutral
manuals are completed in time,Positive
useful assignments taught by teacher,Positive
Can be more experimental,Neutral
Fabbbbb,Positive
Labwork gives more practical knowledge,Positive
Okay,Positive
Its nice to learn in labs ,Positive
Quite easy to understand sessions,Positive
needs to improve,Negative
average,Neutral
All apparatus are well maintained,Positive
Excellent labs ....,Positive
its average when we talk about pc,Neutral
must be repaired since it has leakages on the roof,Negative
machines are not upgraded,Negative
Communication problem,Negative
Complicated place to work,Positive
assignments are completed before time,Neutral
Sufficient space ,Positive
good enough,Neutral
assignments are easy to learn,Positive
Kinda cleanliness needed,Positive
Niceeeeee,Positive
Happy with labs and practicals,Positive
Awesome and interest seeking labs,Positive
"Labs are best for knowledge sharing and practical approach.
",Positive
Nice,Positive
Fine,Positive
Just okay okay,Positive
Fine,Positive
Gooooood,Positive
Okayyz,Positive
Nice,Positive
Okay,Positive
Fine,Positive
Lab assistant are needed to guide us well,Negative
No one is there for contact purpose,Negative
Lab Entries aren't managed well,Negative
Labs aren't clean,Negative
Okay,Positive
Lab should have updated softwares,Negative
Clean n best,Positive
Perrrrrfectttt,Positive
Niceeeeee,Positive
Finee,Positive
Best,Positive
Okayz,Positive
Quite active staff evrrrrrr,Positive
Never finishes on time,Negative
Up to date,Neutral
Never finsh on time,Negative
Very bad,Negative
Never finishes on time,Negative
Never finishes on time,Negative
Not good,Negative
Explanation is poor,Negative
the communication skills are not good but they explain it very well,Neutral
not useful content and good lecturer,Negative
The lab equipment class is not very good ,Negative
I like the topic but don't like  how it is taught,Neutral
assignments are not taught,Negative
hard assignments,Negative
Lecturing style is not enganging,Negative
assignments implemented within time,Neutral
assignments taught in easy manner,Neutral
assignments completed n understandable,Neutral
assignments completed according to syllabus,Positive
tough assignments,Negative
bad experience,Negative
taught properly,Negative
practicals are not easy,Negative
assignments not covered,Negative
Good but,Neutral
Doesnot provide practical knowledge,Negative
Poor,Negative
Poor,Negative
Never get finishes in time,Negative
Apparatus not available,Negative
Cleanliness issues,Negative
Problems in practicals,Negative
Lab assistants are not properly educated,Negative
Devices are not well maintained,Negative
Out dated devices,Negative
Equipments are not a available,Negative
Lab requires some renovation,Negative
Useless equipments,Negative
Necessary equipments are not available,Negative
Uneducated lab technicians,Negative
Cleanliness issues,Negative
More equipments are required,Negative
Required equipments are not available ,Negative
Equipments required,Negative
More equipments required,Negative
Labs aren't opened in required timing,Negative
New equipments required,Negative
Old devices,Negative
Need more devices,Negative
Broken devices,Negative
Poor technicians,Negative
All the devices are available but not in working condition,Neutral
All devices are good but require more,Neutral
Require more trial kits,Neutral
All required equipments are there but not maintained properly,Neutral
All is there except cleanliness,Neutral
All equipments are there but no rules,Neutral
Need more devices ,Neutral
Require more practical kits,Neutral
All is good except management,Neutral
All equipments are there but some are not useable,Neutral
some books are not provided and quality is very bad,Negative
The library facilities are not good.,Negative
the enviroment of library contributed to my spiritual growth.,Positive
All books are not available but hall is quite big,Neutral
Good,Positive
Library is spacious,Positive
Excellent,Positive
Excellent,Positive
Everything is available,Positive
the environment of library helped us a lot for examination.,Positive
Manageable ,Neutral
Books aren't available ,Negative
Okayzz,Neutral
Good maintainence of books,Positive
Awesome ,Positive
Fabulous,Positive
Expert needed....,Negative
Gr8 facilities provided,Positive
The library staff is cooperative and helpful,Positive
"Clear, concise facilities given by library",Positive
 I was encouraged to think for myself.,Positive
Splendid job,Positive
great,Positive
Not upto the mark at which labwork is being done. ,Negative
Good management ,Positive
the seating arrangement is good but too noisy. ,Neutral
great,Positive
No objections to such good facilities.,Positive
provide opportunities to learn procedural skills,Positive
The library staff is  not helpful,Negative
Librarian can't handle other than English language ,Negative
"Facilities are satisfactory, but need to be improved.",Neutral
library facilities are too good for preparing for exam.,Positive
Good maintaining and management skills of the members in library.,Positive
facilities are not good at exam time,Negative
Improvement needed ,Neutral
Good quality books,Positive
Outstanding facilities.,Positive
The prescribed books and  reading materials are available in the library,Positive
I am satisfied by facilities and some books contents.,Positive
Some books arent being ordered even after instructing librarian.,Negative
very good,Positive
We got lot of books in library.,Positive
the library material and facilities are very poor,Negative
books are good. infrastructure is awesome,Positive
Superbbbbbb,Positive
Really amazing,Positive
There should be always someone who should suggest you what to read and understand person,Negative
nice atmosphere for studying,Positive
Good,Positive
excellent,Positive
books provided are very useful,Positive
very good,Positive
awesome experience,Positive
always helpful,Positive
awesome,Positive
always helpful and good,Neutral
Awesommemeeeee,Positive
Magazines aren't available,Negative
Okay,Positive
Niceee,Positive
Language and communication problems are faced many times...,Negative
not good,Negative
Great staff coordination,Positive
Unclean librarry,Negative
Can do Better ,Negative
Amazing,Positive
No proper guidance,Negative
nice,Neutral
excellent functionalities are provided in library,Positive
all the requirements get fulfill,Neutral
good facilities but,Neutral
not good,Negative
not good,Negative
Good,Positive
Awesome and great,Positive
Gudd,Positive
Report is maintained for each book issued and easy to search any of the books,Positive
Effevtive plan and rules for our ease,Positive
Nice interaction with librarian ,Positive
Interesting eg to understand easily,Positive
Incredible ,Positive
F9,Positive
Amazing ,Positive
Very knowledgeable books .....,Positive
Nice books for referening,Positive
Complications faced with language and communication,Negative
Interesting ,Positive
Not that good,Negative
Less no of books ,Negative
Insufficient books ,Positive
Awesoooooome,Positive
Not that descent ,Negative
very bad,Negative
Nice,Positive
library facilities are very good,Positive
Perfectly done ,Positive
excellent,Neutral
Perfect,Positive
extra books are provided,Neutral
Well comfortness to learn and handle books,Positive
Gud one ,Positive
Nicee,Positive
library facilities are very good,Positive
not good,Negative
books re not available on time,Positive
high amount of books provided,Positive
facilities are excellent,Neutral
books provided are useful,Positive
very nice,Positive
Good,Positive
Cooolll,Positive
Requires more books from international renounced authors.,Negative
Okay,Positive
Facilities are well taken care of ,Positive
Nice,Positive
very good facilities,Positive
books are not of good authors,Negative
Everything is good ,Positive
Facilities are quite satisfactory,Positive
very good library facilities,Positive
some books are good,Neutral
good in terms of programming subjects,Positive
Timing are not convenient ,Negative
Books are too old to read,Negative
books are provided,Negative
Great,Positive
not good,Negative
different books are provided,Positive
Rocking,Positive
Gr8,Positive
Books timing should be increased,Negative
Facility in library are mind blowing even story books are available,Positive
Well organized library including cleanliness,Positive
Okay,Positive
Gr88888888,Positive
Nice,Positive
Nice,Positive
Perfect,Positive
Perfect,Positive
Happy and satisfied,Positive
Okay,Positive
Online journals are available too,Positive
Some book are lost ,Negative
Shelves aren't cleaned ,Negative
Reference books are not in good condition,Negative
Internet access isnt good sometimes for research,Negative
Some times central card isnt allowed for books exchange which is annoying !!!!,Negative
Good,Positive
Best,Positive
Literature related books are not there,Negative
Seems like Historical place ,Positive
Nice,Positive
Perfect and best too,Positive
Just casual approach towards returning books,Negative
Happy to be part of this library,Positive
Staff is not supportive,Negative
Good,Neutral
Not good,Negative
Not good,Negative
Lrage but not all books are available,Neutral
Bad,Negative
Not available,Negative
Library is not good,Negative
the staff is good but not all books are available,Neutral
"""The module id not useful ",Negative
The library is not very good and helpful,Negative
the books are not in good condition,Neutral
good enough,Positive
less count of books available,Negative
The library classes are not good because they are not covering all the knowledge ,Negative
bad experience,Negative
not satisfactory,Negative
not good,Negative
all kind of books are available,Neutral
all varieties are not available,Negative
good. availability of books,Neutral
variety of data available,Negative
good and available always,Neutral
all kind of books are available,Negative
Poor,Negative
All books are not available,Negative
Not good,Negative
Books are not in good position,Negative
Books are lenghty,Negative
Torn books,Negative
Books are not available,Negative
Needy books are not available,Negative
Librarian is irresponsible ,Negative
Books are not available,Negative
No space for study,Negative
Wifi is necessary,Negative
No management of books,Negative
Important books are not available,Negative
No sitting arrangements ,Negative
Unnecessary books,Negative
Books are not available,Negative
Required books are not available,Negative
Old books,Negative
Wifi required,Negative
New books are required,Negative
Owner isn't experienced about books,Negative
Old books,Negative
Torn books,Negative
No WiFi for students,Negative
No new books,Negative
Useless books,Negative
Books are torn but useful,Neutral
Books are there but not all,Neutral
No wifi but proper sitting sitting arrangements ,Neutral
Books are old but useful,Neutral
New books but useless,Neutral
Require more books,Neutral
Books are much in quantity but useless,Neutral
All is good but no wifi,Neutral
No new books ,Neutral
Books are old but useable,Neutral
No extracurricular activities are conducted,Negative
They don't provide the time for extracurricular activities,Negative
they provide time for extracurricular but don't provide any activities,Neutral
Excellent,Positive
Average,Neutral
Good,Positive
Excellent,Positive
Excellent,Positive
No time for extracurricular,Negative
they don't provide any work for this,Negative
Extracurricular activities are encouraged,Positive
Football and cricket included ,Positive
Few activities are conducted,Neutral
Sports and other induction carried ,Positive
Many activities like singing and others,Positive
